Player,40yd,Vert(in),
Travis Hunter,4.40,40
Tetairoa McMillan,4.48,34
Luther Burden III,4.42,36
Emeka Egbuka,4.45,38
Matthew Golden,4.29,39
Elic Ayomanor,4.44,38.5
Tre Harris,4.50,37
Isaiah Bond,4.39,35
Jayden Higgins,4.47,39
Savion Williams,4.55,36
Xavier Restrepo,4.60,34
Tez Johnson,4.51,37
Jalen Royals,4.52,37
Jack Bech,4.60,34.5
Jaylin Noel,4.39,41.5
Kaden Prather,4.55,35
Jimmy Horn Jr.,4.50,36
Tory Horton,4.45,37
Ricky White III,4.60,34
Kyle Williams,4.65,33
Bru McCoy,4.50,36
Tai Felton,4.37,39.5
Sam Brown Jr.,4.44,41.5
Isaac TeSlaa,4.43,39.5
Ja'Corey Brooks,4.50,35
Kobe Hudson,4.55,36
Nick Nash,4.60,34